result|job_completion_time|descr|env_vars|environ|exclusive_access|extra_resources|job_completion_time_unix|job_exitcode|job_nodelist|job_submit_time|jobid|modules|name|num_cpus_per_task|num_gpus_per_node|num_tasks|num_tasks_per_core|num_tasks_per_node|num_tasks_per_socket|partition|bandwidth_value|bandwidth_unit|bandwidth_ref|bandwidth_lower_thres|bandwidth_upper_thres|short_name|system|unique_name|use_multithreading|variant
pass|2025-05-13T01:02:48|OSU Bandwidth test with 1MB messages [inter_node]|{}|foss-2023b|false|{}|1747090968.0|0|aion-0002,aion-0023|1747090958.1008494|7930390||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12326.47|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-13T01:02:52|OSU Bandwidth test with 1MB messages [default]|{}|foss-2023b|false|{}|1747090972.0|0|aion-0029|1747090964.0435505|7930393||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|14176.78|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-13T01:42:58|OSU Bandwidth test with 1MB messages [inter_node]|{}|foss-2023b|false|{}|1747093378.0|0|aion-0013,aion-0017|1747093370.1746402|7931239||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12317.08|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-13T01:43:06|OSU Bandwidth test with 1MB messages [default]|{}|foss-2023b|false|{}|1747093386.0|0|aion-0018|1747093374.3174672|7931242||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|14409.41|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-13T02:07:27|OSU Bandwidth test (1MB) [inter_node]|{}|foss-2023b|false|{}|1747094847.0|0|aion-0229,aion-0231|1747094453.4419522|7931643||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12328.11|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-13T02:07:26|OSU Bandwidth test (1MB) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747094846.0|0|aion-0232|1747094455.4311671|7931645||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|10855.48|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
fail|2025-05-13T02:07:27|OSU Bandwidth test (1MB) [diff_numa_same_socket]|{}|foss-2023b|false|{}|1747094847.0|1|aion-0232|1747094459.4021213|7931647||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|None|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-13T02:07:30|OSU Bandwidth test (1MB) [same_numa]|{}|foss-2023b|false|{}|1747094850.0|0|aion-0229|1747094733.9373753|7931755||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|14294.99|MB/s|0|None|None|OSUBandwidthTest_fb083019|aion|OSUBandwidthTest_1|null|same_numa
pass|2025-05-13T02:07:31|OSU Bandwidth test (1MB) [default]|{}|foss-2023b|false|{}|1747094851.0|0|aion-0231|1747094739.8546958|7931758||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|10924.04|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-13T23:41:16|OSU Bandwidth test (1MB) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747172476.0|0|aion-0077|1747171984.7711492|7956869||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|12961.67|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-13T23:41:49|OSU Bandwidth test (1MB) [inter_node]|{}|foss-2023b|false|{}|1747172509.0|0|aion-0014,aion-0077|1747171982.6140227|7956867||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12316.47|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-13T23:41:52|OSU Bandwidth test (1MB) [same_numa]|{}|foss-2023b|false|{}|1747172512.0|0|aion-0014|1747172039.4634802|7956889||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|14261.82|MB/s|0|None|None|OSUBandwidthTest_fb083019|aion|OSUBandwidthTest_1|null|same_numa
fail|2025-05-13T23:41:56|OSU Bandwidth test (1MB) [diff_numa_same_socket]|{}|foss-2023b|false|{}|1747172516.0|1|aion-0340|1747171986.9028828|7956871||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|None|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-13T23:42:04|OSU Bandwidth test (1MB) [default]|{}|foss-2023b|false|{}|1747172524.0|0|aion-0077|1747172137.933095|7956933||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|11865.67|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-14T00:32:49|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747175569.0|0|aion-0209,aion-0265|1747175328.0634196|7958057||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12325.14|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
fail|2025-05-14T00:33:38|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{}|foss-2023b|false|{}|1747175618.0|127|aion-0265|1747175332.0547197|7958061||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|None|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-14T00:33:40|OSU Bandwidth test (1MB, Src) [same_numa]|{}|foss-2023b|false|{}|1747175620.0|0|aion-0209|1747175368.1480439|7958074||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|14453.19|MB/s|0|None|None|OSUBandwidthTest_fb083019|aion|OSUBandwidthTest_1|null|same_numa
pass|2025-05-14T00:33:46|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747175626.0|0|aion-0102|1747175330.067421|7958059||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|10833.5|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T00:33:48|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747175628.0|0|aion-0281|1747175532.009634|7958141||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|11962.35|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-14T00:55:17|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747176917.0|0|aion-0016,aion-0257|1747176686.1292312|7958512||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|11090.27|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-14T00:55:21|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747176921.0|0|aion-0016|1747176686.876816|7958514||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|10836.8|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T00:55:26|OSU Bandwidth test (1MB, Src) [same_numa]|{}|foss-2023b|false|{}|1747176926.0|0|aion-0016|1747176885.275894|7958597||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|14331.68|MB/s|0|None|None|OSUBandwidthTest_fb083019|aion|OSUBandwidthTest_1|null|same_numa
pass|2025-05-14T00:55:30|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747176930.0|0|aion-0257|1747176688.8493488|7958516||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|11738.03|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-14T00:55:47|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747176947.0|0|aion-0257|1747176895.4313998|7958599||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|12165.98|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-14T01:25:10|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747178710.0|0|aion-0092,aion-0268|1747178680.3803287|7959331||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12324.77|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-14T01:25:14|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747178714.0|0|aion-0092|1747178681.030828|7959332||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|12210.38|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T01:25:14|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747178714.0|0|aion-0268|1747178681.5387912|7959333||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|12832.59|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:25:23|OSU Bandwidth test (1MB, Src) [same_numa]|{}|foss-2023b|false|{}|1747178723.0|0|aion-0092|1747178687.6362557|7959334||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|14540.64|MB/s|0|None|None|OSUBandwidthTest_fb083019|aion|OSUBandwidthTest_1|null|same_numa
pass|2025-05-14T01:25:39|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747178739.0|0|aion-0092|1747178690.4134514|7959336||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|13058.92|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
pass|2025-05-14T02:33:49|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747182829.0|0|aion-0207,aion-0328|1747182008.7021284|7960616||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12324.82|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-14T02:34:00|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747182840.0|0|aion-0328|1747182010.761502|7960618||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|12168.52|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T02:34:08|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747182848.0|0|aion-0207|1747182012.6917632|7960620||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|12134.63|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-20T18:38:01|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747759081.0|0|aion-0209|1747759075.4442039|8164619||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|12569.32|MB/s|0|None|None|OSUBandwidthTest_e306891b|aion|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-20T18:38:01|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747759081.0|0|aion-0193,aion-0204|1747759073.5956695|8164617||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12326.99|MB/s|0|None|None|OSUBandwidthTest_5716a367|aion|OSUBandwidthTest_4|null|inter_node
pass|2025-05-20T18:38:03|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747759083.0|0|aion-0210|1747759077.3403382|8164621||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|10951.59|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|aion|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-20T18:38:10|OSU Bandwidth test (1MB, Src) [same_numa]|{}|foss-2023b|false|{}|1747759090.0|0|aion-0316|1747759079.2232614|8164623||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|14772.19|MB/s|0|None|None|OSUBandwidthTest_fb083019|aion|OSUBandwidthTest_1|null|same_numa
pass|2025-05-20T18:38:12|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747759092.0|0|aion-0318|1747759081.2734385|8164625||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|12885.61|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|aion|OSUBandwidthTest_0|null|default
